0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
class,排名,球部,GP,W,L,Wr,GB,Streak,Last 5,,,,,,主場,客場,OT,Ahead 2,Behind 2,Tied 2,Ahead 3,Behind 3,Tied 3,PTS/G,PA/G,3pt,10pt,Matchup,,,,,,,,,,,,,,
plg_rank,dreamers,pilots,kings,lioneers,braves,steelers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t1_rank,dea,aquas,leopards,mars,ghosthawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbl_rank,beer,trust,yulon,bll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wsbl_rank,taiyuen,cathay,telecom,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plg,1,dreamers,27,18,9,67%,-,W2,3-2,W,W,L,L,W,10-3,8-6,0-1,15-3,1-6,2-0,16-2,2-7,-,2562,2401,4-1,13-3,braves,3,3,kings,4,1,pilots,3,2,lioneers,3,2,steelers,5,1
plg,2,pilots,28,17,11,61%,1.5,W5,5-0,W,W,W,W,W,11-5,6-6,2-0,12-2,5-8,0-1,16-0,1-11,-,2617,2537,1-1,11-6,braves,5,1,kings,3,3,lioneers,3,2,dreamers,2,3,steelers,4,2
plg,3,kings,27,15,12,56%,3,L2,2-3,L,L,W,W,L,8-7,7-5,-,12-2,3-9,0-1,14-0,1-12,-,2664,2597,0-1,11-7,braves,3,2,pilots,3,3,lioneers,2,3,dreamers,1,4,steelers,6,0
plg,4,lioneers,25,12,13,48%,5,L2,2-3,L,L,W,W,L,6-4,6-9,-,8-3,4-9,0-1,8-0,3-13,1-0,2242,2326,3-0,5-10,braves,2,3,kings,3,2,pilots,2,3,dreamers,2,3,steelers,3,2
plg,5,braves,27,12,15,44%,6,W1,1-4,W,L,L,L,L,7-6,5-9,1-0,8-4,3-11,1-0,10-5,2-10,-,2555,2585,0-4,6-6,kings,2,3,pilots,1,5,lioneers,3,2,dreamers,3,3,steelers,3,2
plg,6,steelers,28,7,21,25%,11.5,L1,1-4,L,W,L,L,L,3-11,4-10,0-2,5-3,1-17,1-1,6-3,1-17,0-1,2599,2793,1-2,1-15,braves,2,3,kings,0,6,pilots,2,4,lioneers,2,3,dreamers,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t1,1,dea,22,15,7,68%,-,L1,3-2,L,W,L,W,W,9-2,6-5,-,11-1,2-6,2-0,13-2,1-5,1-0,2087,1994,4-1,8-2,mars,5,0,leopards,2,4,ghosthawks,5,1,aquas,3,2,,,
t1,2,aquas,21,12,9,57%,2.5,L3,2-3,L,L,L,W,W,8-2,4-7,-,9-3,3-5,0-1,11-4,1-5,-,2147,2085,3-3,4-2,dea,2,3,mars,4,2,leopards,3,2,ghosthawks,3,2,,,
t1,3,leopards,21,12,9,57%,2.5,L1,1-4,L,W,L,L,L,7-3,5-6,-,10-1,0-8,2-0,11-0,1-8,0-1,2185,2154,1-1,4-5,dea,4,2,mars,3,2,ghosthawks,3,2,aquas,2,3,,,
t1,4,mars,21,8,13,38%,6.5,W3,4-1,W,W,W,L,W,6-7,2-6,-,6-1,2-10,0-2,6-0,2-13,-,2076,2145,1-3,2-6,dea,0,5,leopards,2,3,ghosthawks,4,1,aquas,2,4,,,
t1,5,ghosthawks,21,6,15,29%,8.5,W2,2-3,W,W,L,L,L,5-4,1-11,-,5-2,1-12,0-1,4-1,2-14,-,2034,2151,1-2,4-7,dea,1,5,mars,1,4,leopards,2,3,aquas,2,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbl,1,beer,20,14,6,70%,-,L2,2-3,L,L,W,L,W,-,-,0-1,12-0,0-5,2-1,11-0,2-6,1-0,1754,1616,0-2,7-1,trust,4,3,yulon,6,0,bll,4,3,,,,,,
sbl,2,trust,20,11,9,55%,3,W2,3-2,W,W,L,L,W,-,-,-,10-2,1-5,0-2,7-3,2-5,2-1,1688,1667,3-1,4-4,beer,3,4,yulon,4,3,bll,4,2,,,,,,
sbl,3,yulon,20,9,11,45%,5,L1,3-2,L,W,W,W,L,-,-,1-0,8-1,1-10,-,8-2,1-8,0-1,1546,1578,1-0,7-6,beer,0,6,trust,3,4,bll,6,1,,,,,,
sbl,4,bll,20,6,14,30%,8,W1,2-3,W,L,L,W,L,-,-,1-1,3-1,2-13,1-0,4-2,2-11,0-1,1531,1658,1-2,1-8,beer,3,4,trust,2,4,yulon,1,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wsbl,1,taiyuen,20,18,2,90%,-,W2,4-1,W,W,L,W,W,-,-,-,15-0,3-2,-,17-0,1-2,-,1507,1218,-,14-1,cathay,4,2,telecom,7,0,power,7,0,,,,,,
